,dolc_IFNG_z,dolc_IL2_z,schmidt_signed,schmidt_dir,schmidt_causal,schmidt_integrated,direction,integrated_score
PPIH,3.013424210667337,3.505013786450399,3.013424210667337,brake_agonize,3.505013786450399,0.4361630434782609,brake_agonize,0.40392563702548107
PPP1R13B,0.4446332468137401,-0.0682760551042448,0.4446332468137401,brake_agonize,0.4446332468137401,0.17746739130434785,driver_antagonize,0.43256838273530945
PPP1R14B,0.5891419828457979,0.5341439490329954,0.5891419828457979,brake_agonize,0.5891419828457979,0.22107608695652176,driver_antagonize,0.1418975559022361
PPP1R15A,-0.9402365742178824,0.1974102472130386,-0.9402365742178824,driver_antagonize,0.9402365742178824,0.31734782608695655,driver_antagonize,0.1456105044201768
PPP1R15B,-0.7887599638164551,0.293073444002593,-0.7887599638164551,driver_antagonize,0.7887599638164551,0.27725,driver_antagonize,0.3415127405096204
PPP1R18,0.2148108582530983,0.0508925679988084,0.2148108582530983,brake_agonize,0.2148108582530983,0.12000000000000001,driver_antagonize,0.42054550182007283
PPP1R3B,0.980996995201866,-0.5797497397422474,0.980996995201866,brake_agonize,0.980996995201866,0.5128645916288499,driver_antagonize,0.505922127408542
PPP1R3F,-0.4353063014605223,0.5283237736741349,-0.4353063014605223,driver_antagonize,0.5283237736741349,0.20315217391304352,brake_agonize,0.35883983359334376
PPP1R9B,-0.594546502216358,1.0260927138584095,-0.594546502216358,driver_antagonize,1.0260927138584095,0.3341630434782609,brake_agonize,0.3229479979199168
PPP2R2A,-2.039801559545221,-0.317624108623165,-2.039801559545221,driver_antagonize,2.039801559545221,0.6702459936665988,brake_agonize,0.567796192631079
PPP2R5C,1.342740514547894,-0.6419902459510034,1.342740514547894,brake_agonize,1.342740514547894,0.6103500000000001,driver_antagonize,0.5250516380655227
PPP3CA,0.0700754156298173,-0.6203975037081955,0.0700754156298173,brake_agonize,0.6203975037081955,0.23438043478260873,driver_antagonize,0.13058190327613106
PPP3R1,0.3842879228680991,-1.673379799347159,0.3842879228680991,brake_agonize,1.673379799347159,0.4088152173913044,driver_antagonize,0.2479817992719709
PPP4R2,0.1007119518061283,0.0517365914741103,0.1007119518061283,brake_agonize,0.1007119518061283,0.1983413043478261,driver_antagonize,0.5329015080603224
PPP5C,0.3627542872722648,1.0522885956122503,0.3627542872722648,brake_agonize,1.0522885956122503,0.7614498849890237,driver_antagonize,0.7575012257383058
PPP6C,-0.5785124020477662,0.883610071422302,-0.5785124020477662,driver_antagonize,0.883610071422302,0.3023804347826087,brake_agonize,0.32560010400416023
PPRC1,-0.7777728618882452,0.5304041790841433,-0.7777728618882452,driver_antagonize,0.7777728618882452,0.27466304347826087,brake_agonize,0.16169994799791992
PPT2,0.1560665941902227,0.5466730829461164,0.1560665941902227,brake_agonize,0.5466730829461164,0.2103586956521739,driver_antagonize,0.20855382215288615
PRDM5,-0.4313295289985525,0.8442895231280654,-0.4313295289985525,driver_antagonize,0.8442895231280654,0.29258695652173916,driver_antagonize,0.13128913156526262
PRELID1,-2.549259224127386,0.5994065750231412,-2.549259224127386,driver_antagonize,2.549259224127386,0.5866779768973862,driver_antagonize,0.5479771188630648
PREPL,0.2058147525376206,0.0416913582731304,0.2058147525376206,brake_agonize,0.2058147525376206,0.11815217391304349,driver_antagonize,0.334086843473739
PRF1,0.5449132592610083,-1.222649390260926,0.5449132592610083,brake_agonize,1.222649390260926,0.36465217391304355,driver_antagonize,0.36661934477379093
PRG4,0.1022270906695961,0.4584167928320533,0.1022270906695961,brake_agonize,0.4584167928320533,0.18134782608695654,driver_antagonize,0.3199422776911077
PRKCQ,-1.3702116162883504,-1.6801178216769643,-1.3702116162883504,driver_antagonize,1.6801178216769643,0.8471847826086957,driver_antagonize,0.7895907436297452
PRKCSH,0.3979680582033095,-1.804717120127083,0.3979680582033095,brake_agonize,1.804717120127083,0.6054376770384683,driver_antagonize,0.564321288469882
PRKD2,-3.159610170299422,-3.84559478095414,-3.159610170299422,driver_antagonize,3.84559478095414,0.5689190902901622,brake_agonize,0.294432068200583
PRKX,-0.5572687107924487,0.0452218057447782,-0.5572687107924487,driver_antagonize,0.5572687107924487,0.44568438437480395,driver_antagonize,0.6309985673769067
