target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
CDIP1,ENSG00000089486,brake_agonize,Stim8hr,3.6112905,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDK2,ENSG00000123374,driver_antagonize,Stim48hr,4.145224,0.355,moderate,kinase,kinase,clinical_precedent,small molecule,True,True,True,True,True,False,False,14.0,PHASE_1;PHASE_1_2;PHASE_2;PHASE_3
CDK4,ENSG00000135446,driver_antagonize,Stim48hr,3.8019516,0.0,none,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
CDK8,ENSG00000132964,driver_antagonize,Stim8hr,3.6849809,0.0,none,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
CDKL2,ENSG00000138769,brake_agonize,Stim48hr,3.357879,0.0,none,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
CDKN1A,ENSG00000124762,brake_agonize,Stim8hr,3.5104997,0.526,strong,,,unknown,undetermined,False,False,False,False,True,False,False,0.0,
CDKN2A,ENSG00000147889,driver_antagonize,Stim8hr,3.1013114,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDKN2AIP,ENSG00000168564,driver_antagonize,Rest,4.062012,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDKN2AIPNL,ENSG00000237190,driver_antagonize,Stim48hr,4.042685,0.0,none,,,unknown,undetermined,False,,,,,,,,
CENPB,ENSG00000125817,brake_agonize,Stim48hr,3.1802456,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
CENPF,ENSG00000117724,driver_antagonize,Stim8hr,2.8476968,0.0,none,,,unknown,undetermined,False,,,,,,,,
CEP112,ENSG00000154240,brake_agonize,Stim8hr,2.7387578,0.0,none,,,unknown,undetermined,False,,,,,,,,
CEP162,ENSG00000135315,brake_agonize,Stim8hr,3.6007774,0.4955157267847312,moderate,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
CEP72,ENSG00000112877,driver_antagonize,Rest,3.3462727,0.5553694564408627,strong,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
CEP89,ENSG00000121289,brake_agonize,Stim8hr,2.916832,0.3999299213798064,moderate,,,unknown,undetermined,False,,,,,,,,
CEP97,ENSG00000182504,driver_antagonize,Stim8hr,3.0892985,0.1563210497859863,weak,,,unknown,undetermined,False,,,,,,,,
CEPT1,ENSG00000134255,brake_agonize,Stim48hr,4.219756,0.631197518575292,strong,,,sm_tractable,small molecule,True,False,True,False,False,False,True,0.0,
CERT1,ENSG00000113163,driver_antagonize,Stim8hr,4.2863946,0.0,none,,,unknown,undetermined,False,,,,,,,,
CFAP20,ENSG00000070761,driver_antagonize,Stim48hr,3.5532238,0.0,none,,,unknown,undetermined,False,,,,,,,,
CFAP410,ENSG00000160226,driver_antagonize,Stim48hr,2.936008,0.0,none,,,unknown,undetermined,False,,,,,,,,
